epoch,time,lr,loss,acc,val_loss,val_acc
1,148.9403120000061,0.001,0.7122022897000256,70.05018617451837,0.30252060155176747,88.60103626943005
2,145.70074629200099,0.001,0.2864538907464392,89.8656305649992,0.1629957180335114,94.17098445595855
3,146.9991760420089,0.001,0.19251198292511923,93.42723004694835,0.13456659110677985,95.07772020725389
4,144.53259070900094,0.001,0.13090894138598802,95.28897523069452,0.09492318760700176,97.53886010362694
5,145.79599633300677,0.001,0.12025265873530275,95.8394042415412,0.08467937982761799,97.02072538860104
6,148.8356427079998,0.001,0.08289832668371411,97.50688036263558,0.09443296054908958,97.79792746113989
7,145.9827639580035,0.001,0.06337614510716774,97.9763639307107,0.07426116547976751,97.53886010362694
8,148.6201052920078,0.001,0.06617578980674997,97.89541848793912,0.09751422062439004,97.02072538860104
9,145.3163953750045,0.001,0.050772469072824775,98.55917111866601,0.0805902316818892,97.92746113989638
10,146.29965716598963,0.001,0.04599457375930798,98.52679294155739,0.05659608751381,98.70466321243524
11,146.78421275000437,0.001,0.049782202561742206,98.34871296745993,0.08039572987454544,97.40932642487047
12,147.81924158299807,0.001,0.037488537223734325,98.68868382710053,0.07395556143972386,97.92746113989638
13,147.00507212500088,0.001,0.04458811486832543,98.5429820301117,0.037877906808735796,98.18652849740933
14,145.93428575000144,0.001,0.030939711036782676,99.07722195240407,0.061306576567841935,97.92746113989638
15,147.57328245799,0.001,0.030443267813997255,98.9800874210782,0.09819394999625249,97.66839378238342
16,146.60093374999997,0.001,0.031177588296586473,99.04484377529545,0.052110142716317594,98.3160621761658
17,149.8355694589991,0.001,0.017011389944757267,99.5467055204792,0.04687803293912493,99.09326424870466
18,148.05754183299723,0.001,0.0178589517546473,99.28768010361017,0.06871976492772063,98.18652849740933
